postcode,szzcd,district
320033,KL,12
320034,KL,12
320035,KL,12
320038,KL,12
320039,KL,12
320040,KL,12
320041,KL,12
320042,KL,12
320043,KL,12
320044,KL,12
320045,KL,12
320046,KL,12
320047,KL,12
320048,KL,12
320049,KL,12
320050,KL,12
320051,KL,12
320052,KL,12
320053,KL,12
320054,KL,12
320055,KL,12
320056,KL,12
320057,KL,12
320058,KL,12
320059,KL,12
320060,KL,12
320061,KL,12
320062,KL,12
320063,KL,12
320064,KL,12
320065,KL,12
320074,KL,12
320075,KL,12
320076,KL,12
320077,KL,12
320082,KL,12
320083,KL,12
320084,KL,12
320085,KL,12
320086,KL,12
320093,KL,12
320094,KL,12
320095,KL,12
320096,KL,12
320097,KL,12
320098,KL,12
320099,KL,12
321004,KL,12
321016,KL,12
321017,KL,12
321018,KL,12
321019,KL,12
321020,KL,12
321021,KL,12
321022,KL,12
321101,NV,12
321102,NV,12
321103,NV,12
321104,NV,12
321105,NV,12
321106,NV,12
321107,NV,12
321108,NV,12
321109,NV,12
321110,NV,12
321111,NV,12
321112,NV,12
322002,KL,12
322004,KL,12
322101,KL,12
322102,KL,12
322103,KL,12
322104,KL,12
322106,KL,12
323101,NV,12
323104,NV,12
323108,NV,12
324108,KL,12
330004,KL,12
330005,KL,12
330006,KL,12
330007,KL,12
330008,KL,12
330009,KL,12
330022,KL,12
330023,KL,12
330024,KL,12
330026,KL,12
330028,KL,12
330030,KL,12
330031,KL,12
330032,KL,12
330033,KL,12
330034,KL,12
330043,KL,12
330044,KL,12
330045,KL,12
330046,KL,12
330047,KL,12
330048,KL,12
330049,KL,12
330053,KL,12
330054,KL,12
330055,KL,12
330056,KL,12
330057,KL,12
330058,KL,12
330059,KL,12
330060,KL,12
330061,KL,12
330062,KL,12
330063,KL,12
330064,KL,12
330065,KL,12
330066,KL,12
330067,KL,12
330068,KL,12
330072,KL,12
330073,KL,12
330093,KL,12
330094,KL,12
330095,KL,12
330096,KL,12
330097,KL,12
331038,KL,12
331039,KL,12
331059,KL,12
332038,KL,12
332059,KL,12
333038,KL,12
334038,KL,12
350101,TP,13
350102,TP,13
350103,TP,13
350104,TP,13
350105,TP,13
350106,TP,13
350107,TP,13
350108,TP,13
350109,TP,13
350113,TP,13
350114,TP,13
350115,TP,13
350116,TP,13
350117,TP,13
350118,TP,13
350119,TP,13
350120,TP,13
350121,TP,13
350122,TP,13
350123,TP,13
350124,TP,13
350125,TP,13
350126,TP,13
350127,TP,13
350128,TP,13
350129,TP,13
350130,TP,13
350131,TP,13
350132,TP,13
350133,TP,13
350134,TP,13
350135,TP,13
350136,TP,13
350137,TP,13
350138,TP,13
350139,TP,13
350140,TP,13
350141,TP,13
350142,TP,13
350143,TP,13
350144,TP,13
350145,TP,13
350146,TP,13
350148,TP,13
360002,TP,13
360003,TP,13
360004,TP,13
360005,TP,13
360008,TP,13
360010,TP,13
360011,TP,13
360012,TP,13
360013,TP,13
360014,TP,13
360015,TP,13
360016,TP,13
360017,TP,13
360018,TP,13
360019,TP,13
360020,TP,13
360021,TP,13
360081,TP,13
360082,TP,13
360083,TP,13
370012,GL,13
370013,GL,13
370014,GL,13
370019,GL,13
370020,GL,13
370021,GL,13
370022,GL,13
370023,GL,13
370024,GL,13
370027,GL,13
370028,GL,13
370029,GL,13
370030,GL,13
370031,GL,13
370032,GL,13
370033,GL,13
370034,GL,13
370035,GL,13
370036,GL,13
370037,GL,13
370038,GL,13
370039,GL,13
370040,GL,13
370041,GL,13
370042,GL,13
370043,GL,13
370044,GL,13
370045,GL,13
370046,GL,13
370047,GL,13
370048,GL,13
370049,GL,13
370050,GL,13
370051,GL,13
370052,GL,13
370053,GL,13
370054,GL,13
370055,GL,13
370056,GL,13
370057,GL,13
370058,GL,13
370059,GL,13
370060,GL,13
370061,GL,13
370062,GL,13
370063,GL,13
370064,GL,13
370065,GL,13
370066,GL,13
370067,GL,13
370068,GL,13
370069,GL,13
370070,GL,13
370071,GL,13
370072,GL,13
370078,GL,13
370085,GL,13
370087,GL,13
370090,GL,13
370091,GL,13
370092,GL,13
370093,GL,13
370094,GL,13
371092,GL,13
380011,KL,14
380012,KL,14
380013,KL,14
380014,KL,14
380015,KL,14
380016,KL,14
380019,KL,14
380038,KL,14
380039,KL,14
380040,KL,14
380041,KL,14
380042,KL,14
380043,KL,14
380044,KL,14
380045,KL,14
380050,KL,14
380051,KL,14
380052,KL,14
380053,KL,14
380054,KL,14
380055,KL,14
380062,KL,14
380095,KL,14
380096,KL,14
380097,KL,14
380098,KL,14
380099,KL,14
380100,GL,14
380101,GL,14
380102,GL,14
380103,GL,14
380104,GL,14
380105,GL,14
380106,GL,14
380107,GL,14
380108,GL,14
380109,GL,14
380110,GL,14
380111,GL,14
380112,GL,14
380113,GL,14
380115,GL,14
380116,GL,14
380119,GL,14
380120,GL,14
380122,GL,14
380123,GL,14
380124,GL,14
380125,GL,14
380126,GL,14
380127,GL,14
380128,GL,14
380129,GL,14
380130,GL,14
380131,GL,14
380132,GL,14
380133,GL,14
380134,GL,14
381002,KL,14
381003,KL,14
381005,KL,14
381014,KL,14
381042,KL,14
381043,KL,14
381111,KL,14
381112,KL,14
381113,KL,14
381114,KL,14
381120,KL,14
381121,KL,14
381122,KL,14
381123,KL,14
381124,KL,14
381125,KL,14
381126,KL,14
382002,KL,14
382003,KL,14
383002,KL,14
383003,KL,14
384002,KL,14
384003,KL,14
390001,GL,14
390002,GL,14
390004,GL,14
390006,GL,14
390009,GL,14
390010,GL,14
390012,GL,14
390013,GL,14
390014,GL,14
390018,GL,14
390020,GL,14
390021,GL,14
390022,GL,14
390024,GL,14
390026,GL,14
390028,GL,14
390030,GL,14
390032,GL,14
390034,GL,14
390036,GL,14
390039,GL,14
390042,GL,14
390043,GL,14
390045,GL,14
390047,GL,14
390049,GL,14
390054,GL,14
390058,GL,14
390060,GL,14
390062,GL,14
390093,GL,14
390095,GL,14
390097,GL,14
390099,GL,14
391005,GL,14
391007,GL,14
391010,GL,14
391011,GL,14
391012,GL,14
391028,GL,14
391030,GL,14
391032,GL,14
391056,GL,14
392003,GL,14
400001,GL,14
400002,GL,14
400009,GL,14
400010,GL,14
400011,GL,14
400012,GL,14
400013,GL,14
400014,GL,14
400015,GL,14
400016,GL,14
400017,GL,14
400018,GL,14
400019,GL,14
400020,GL,14
400021,GL,14
400022,GL,14
400023,GL,14
400024,GL,14
400025,GL,14
400031,GL,14
400032,GL,14
400033,GL,14
400034,GL,14
400035,GL,14
400036,GL,14
400301,GL,14
400302,GL,14
400304,GL,14
400305,GL,14
400311,GL,14
400312,GL,14
400313,GL,14
400314,GL,14
400315,GL,14
400316,GL,14
400317,GL,14
400318,GL,14
400319,GL,14
400320,GL,14
400321,GL,14
