postcode,lat,lng,district
680632,1.396952,103.7448409,23
680633,1.396952,103.7448409,23
680634,1.396952,103.7448409,23
680635,1.396952,103.7448409,23
680636,1.396952,103.7448409,23
680637,1.396952,103.7448409,23
680638,1.396952,103.7448409,23
680639,1.396952,103.7448409,23
680640,1.396952,103.7448409,23
680641,1.396952,103.7448409,23
680642,1.396952,103.7448409,23
680643,1.396952,103.7448409,23
680656,1.396952,103.7448409,23
680657,1.396952,103.7448409,23
680658,1.396952,103.7448409,23
680659,1.396952,103.7448409,23
680660,1.396952,103.7448409,23
680661,1.396952,103.7448409,23
680662,1.396952,103.7448409,23
680663,1.396952,103.7448409,23
680664,1.396952,103.7448409,23
680665,1.396952,103.7448409,23
680666,1.396952,103.7448409,23
680667,1.396952,103.7448409,23
680668,1.396952,103.7448409,23
680669,1.396952,103.7448409,23
680670,1.396952,103.7448409,23
680671,1.396952,103.7448409,23
680672,1.396952,103.7448409,23
680673,1.396952,103.7448409,23
680674,1.396952,103.7448409,23
680675,1.396952,103.7448409,23
680676,1.396952,103.7448409,23
680677,1.396952,103.7448409,23
680678,1.396952,103.7448409,23
680679,1.396952,103.7448409,23
680680,1.396952,103.7448409,23
680681,1.396952,103.7448409,23
680682,1.396952,103.7448409,23
680701,1.39162,103.746244,23
680702,1.39162,103.746244,23
680703,1.39162,103.746244,23
680704,1.39162,103.746244,23
680705,1.39162,103.746244,23
680706,1.39162,103.746244,23
680707,1.39162,103.746244,23
680708,1.39162,103.746244,23
680751,1.39162,103.746244,23
680752,1.39162,103.746244,23
680753,1.39162,103.746244,23
680754,1.39162,103.746244,23
680755,1.39162,103.746244,23
680756,1.39162,103.746244,23
680757,1.39162,103.746244,23
680758,1.39162,103.746244,23
680759,1.39162,103.746244,23
680760,1.39162,103.746244,23
680761,1.39162,103.746244,23
680762,1.39162,103.746244,23
680763,1.39162,103.746244,23
680764,1.39162,103.746244,23
680765,1.39162,103.746244,23
680766,1.39162,103.746244,23
680767,1.39162,103.746244,23
680768,1.39162,103.746244,23
680769,1.39162,103.746244,23
680770,1.39162,103.746244,23
680771,1.39162,103.746244,23
680784,1.39162,103.746244,23
680785,1.39162,103.746244,23
680786,1.39162,103.746244,23
680788,1.39162,103.746244,23
680789,1.39162,103.746244,23
680790,1.39162,103.746244,23
680791,1.39162,103.746244,23
680792,1.39162,103.746244,23
681165,-1,-1,23
681166,-1,-1,23
681296,1.377133,103.740941,23
681297,1.377133,103.740941,23
681476,1.376441,103.737799,23
681484,1.376441,103.737799,23
681485,1.376441,103.737799,23
681487,1.376441,103.737799,23
681488,1.376441,103.737799,23
681489,1.376441,103.737799,23
681490,1.376441,103.737799,23
681670,1.402631,103.747472,23
681671,1.402631,103.747472,23
681672,1.402631,103.747472,23
681673,1.402631,103.747472,23
681674,1.402631,103.747472,23
681676,1.402631,103.747472,23
681683,1.402631,103.747472,23
681684,1.402631,103.747472,23
681685,1.402631,103.747472,23
681686,1.402631,103.747472,23
681687,1.402631,103.747472,23
681688,1.402631,103.747472,23
681689,1.402631,103.747472,23
681690,1.402631,103.747472,23
681691,1.402631,103.747472,23
681692,1.402631,103.747472,23
682166,-1,-1,23
682296,1.376838,103.741413,23
682297,1.376838,103.741413,23
682476,1.376441,103.737799,23
682484,1.376441,103.737799,23
682485,1.376441,103.737799,23
682487,1.376441,103.737799,23
682488,1.376441,103.737799,23
682490,1.376441,103.737799,23
682672,1.401983,103.746972,23
682683,1.401983,103.746972,23
682684,1.401983,103.746972,23
682685,1.401983,103.746972,23
682686,1.401983,103.746972,23
682687,1.401983,103.746972,23
682688,1.401983,103.746972,23
682689,1.401983,103.746972,23
682690,1.401983,103.746972,23
682691,1.401983,103.746972,23
682692,1.401983,103.746972,23
682787,1.395841,103.747652,23
