OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area,ADDRESS
113,1,KALLANG WAY,GLSZ01,N,GEYLANG,GL,CENTRAL REGION,CR,C96E4D530743AF4C,2014/12/05,32761.49230000000,34229.71920000000,4055.20272344000,963198.87940300000,"95 Kallang Way 3, Singapore 349111; 93 Kallang Way 3, Singapore 349110; 109 Kallang Way 2, Singapore 349142; 97 Kallang Way 3, Singapore 349112; 138 Genting Lane, Singapore 349582; 136 Genting Lane, Singapore 349581; 111 Kallang Way 2, Singapore 349143; 99 Kallang Way 3, Singapore 349113; 134 Genting Lane, Singapore 349580; 132 Genting Lane, Singapore 349579"
114,6,INTERNATIONAL BUSINESS PARK,JESZ06,N,JURONG EAST,JE,WEST REGION,WR,98C98587CD02475A,2014/12/05,18514.59950000000,34285.79720000000,3024.27583667000,485022.30640499998,"Nordic European Centre, 3 International Business Park, Singapore 609927; 1A International Business Park, Singapore 609933"
115,1,TUKANG,BLSZ01,N,BOON LAY,BL,WEST REGION,WR,6CCF8637EBA7EA5E,2014/12/05,14192.46540000000,34209.55060000000,6899.99945558000,1881305.82857999997,"Bus stop after Lorong Tukang Empat (21471); 20 Jalan Tukang, Singapore 619257; 18A Jalan Tukang, Singapore 619256; 16 Jalan Tukang, Singapore 619254; 4 Chin Bee Road, Singapore 619819; 2 Chin Bee Road, Singapore 619818; Bus stop at Hup Leck Heavy Equipment (21479); Sambo Innovation Building, 19 Jalan Tukang, Singapore 619265"
116,6,CORONATION ROAD,BTSZ06,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,5DB075FA57F73ADC,2014/12/05,24463.14900000000,34200.33390000000,5905.90419263000,1425083.17678999994,"71A Coronation Road, Singapore 269469; 1 Coronation Drive, Singapore 269556; Coronation Ville, 73 Coronation Road, Singapore 269470; Coronation Ville, 75 Coronation Road, Singapore 269471; 3 Coronation Drive, Singapore 269558; 2 Coronation Drive, Singapore 269557; 71 Coronation Road, Singapore 269468; 4 Coronation Drive, Singapore 269559; Coronation Ville, 77 Coronation Road, Singapore 269473; 5 Coronation Drive, Singapore 269560"
117,3,KEMBANGAN,BDSZ03,N,BEDOK,BD,EAST REGION,ER,528DB1419283465B,2014/12/05,37158.70150000000,34115.96830000000,6785.11170732000,2387277.53159999987,"Kembangan MRT Station (EW6), 55 Sims Avenue East, Singapore 416551; Bus stop at Kembangan MRT (83062); Kembangan Plaza, 18 Jalan Masjid, Singapore 418944; Astoria Park, 32 Lorong Mydin, Singapore 416826; Astoria Park, 30 Lorong Mydin, Singapore 416825; Kembangan Suites, 16 Jalan Masjid, Singapore 418941; The Trumps, 1 Jalan Kembangan, Singapore 419154; 21 Jalan Masjid, Singapore 418946; 19 Jalan Masjid, Singapore 418945; 17 Jalan Masjid, Singapore 418942"
118,2,KATONG,MPSZ02,N,MARINE PARADE,MP,CENTRAL REGION,CR,55705659E2A91D11,2014/12/05,35680.90070000000,32176.35060000000,5062.81485069000,1078992.02527999994,"La Salle Villas, 8C La Salle Street, Singapore 456963; La Salle Villas, 8B La Salle Street, Singapore 456962; La Salle Villas, 8A La Salle Street, Singapore 456961; La Salle Villas, 8 La Salle Street, Singapore 456932; Frankel Estate, 44 Siglap Avenue, Singapore 456312; La Salle Villas, 6D La Salle Street, Singapore 456960; Frankel Estate, 42 Siglap Avenue, Singapore 456311; La Salle Villas, 6C La Salle Street, Singapore 456959; La Salle Villas, 6B La Salle Street, Singapore 456958; La Salle Villas, 6A La Salle Street, Singapore 456957"
119,2,HOLLAND DRIVE,QTSZ02,N,QUEENSTOWN,QT,CENTRAL REGION,CR,A29DC7655F65E7B3,2014/12/05,23711.43700000000,32294.77210000000,3420.32933726000,459546.28581700003,"18 Holland Drive, Singapore 271018; Buona Vista Court, 18D Holland Drive, Singapore 275018; Buona Vista Community Club (CC), 36 Holland Drive, Singapore 270036; 13 Holland Drive, Singapore 271013; 20 Holland Drive, Singapore 271020; Buona Vista Swimming Complex, 76 Holland Drive, Singapore 278938"
120,1,FARRER PARK,RCSZ01,Y,ROCHOR,RC,CENTRAL REGION,CR,710C13F4E3EDBBE6,2014/12/05,30093.41520000000,32386.21070000000,2540.96036282000,247887.63302099999,"26 Owen Road, Singapore 218854; 24 Owen Road, Singapore 218853; 22 Owen Road, Singapore 218852; 20 Owen Road, Singapore 218851; 18 Owen Road, Singapore 218850; Farrer Park MRT Station (NE8), 250 Race Course Road, Singapore 218703; 16 Owen Road, Singapore 218849; Owen Road Post Office, 10 Owen Road, Singapore 218846; 14 Owen Road, Singapore 218848; 12 Owen Road, Singapore 218847"
121,3,NEWTON CIRCUS,NTSZ03,Y,NEWTON,NT,CENTRAL REGION,CR,8B2F19EEE51EDA60,2014/12/05,28587.16260000000,32653.94280000000,2399.40729971000,213581.64204199999,"Newton Circus Food Centre, 500 Clemenceau Avenue North, Singapore 229495; Bus stop at Newton Food center (40031); Gloucester Mansions, 10 Newton Road, Singapore 307947"
122,9,JURONG PORT,JESZ09,N,JURONG EAST,JE,WEST REGION,WR,0664CA7EF6504AE5,2014/12/05,15250.74330000000,32183.91600000000,11355.00222430000,2464856.70116000017,"Jalan Buroh Warehouse Complex, 30 Jurong Port Road, Singapore 619103; Jurong Logistics Hub, 31 Jurong Port Road, Singapore 619115; Bus stop before Jalan Tepong (21069)"
123,3,SAMULUN,BLSZ03,N,BOON LAY,BL,WEST REGION,WR,F78E0287D3F24214,2014/12/05,13418.49220000000,32264.59330000000,8738.67938511000,1940693.42431999999,"10 Jalan Samulun, Singapore 629124; Bus stop opposite SELCO Private Limited (23469); 12A Jalan Samulun, Singapore 629131; Bus stop at Jurong Shipyard (23451); 16 Jalan Samulun, Singapore 629132; 6 Jalan Samulun, Singapore 629123; Bus stop at SELCO Private Limited (23461)"
124,4,SHIPYARD,BLSZ04,N,BOON LAY,BL,WEST REGION,WR,274A049950D70524,2014/12/05,11970.14280000000,32202.38540000000,6422.04211201000,2118499.40876000002,"33 Shipyard Road, Singapore 628131; Bus stop opposite Mobil Marine Terrace (23401)"
125,1,GHIM MOH,QTSZ01,N,QUEENSTOWN,QT,CENTRAL REGION,CR,00F5E30B5C9B7AD8,2014/12/05,22899.18970000000,32579.93530000000,3223.64550359000,485046.92271700001,"19B Ghim Moh Road, Singapore 273019; Bus stop at Blk 3 (12129); 3 Ghim Moh Road, Singapore 270003; 19 Ghim Moh Road, Singapore 270019; 7 Ghim Moh Road, Singapore 270007; 7A Ghim Moh Road, Singapore 271007; Bus stop at Blk 7 (12121); 6 Ghim Moh Road, Singapore 270006; 20 Ghim Moh Road, Singapore 270020; 2 Ghim Moh Road, Singapore 270002"
126,6,LAVENDER,KLSZ06,N,KALLANG,KL,CENTRAL REGION,CR,A7A07F328A38B6EF,2014/12/05,30874.40640000000,32569.52640000000,3609.15046338000,757907.61110200000,"Bus stop at Lavender MRT (01319); Lavender MRT Station (EW11), 50 Kallang Road, Singapore 208699; Bus stop at Lavender MRT (01311); V Hotel Lavender, 70 Jellicoe Road, Singapore 208767; 813 Jellicoe Road, Singapore 200813; Immigration And Checkpoints Authority (ICA) Building, 10 Kallang Road, Singapore 208718"
127,2,GOODWOOD PARK,NTSZ02,Y,NEWTON,NT,CENTRAL REGION,CR,254596A2516A7DBA,2014/12/05,28108.88070000000,32875.26700000000,2798.59850101000,351242.25360200001,"6A Stevens Road, Singapore 257815; Social Development Unit (SDU), 8 Stevens Road, Singapore 257819; 2 Goodwood Hill, Singapore 258897; 4 Goodwood Hill, Singapore 258900; 9A Stevens Road, Singapore 257821; 9 Stevens Road, Singapore 257820"
128,9,PANDAN,CLSZ09,N,CLEMENTI,CL,WEST REGION,WR,A6EE4A49376B69C4,2014/12/05,19228.60330000000,32265.40100000000,5689.64694413000,1312922.68121000007,"Ming Village, 32 Pandan Road, Singapore 609279; 8 Pandan Avenue, Singapore 609384; 10 Pandan Avenue, Singapore 609385; 30 Pandan Road, Singapore 609277"
129,9,SINGAPORE POLYTECHNIC,QTSZ09,N,QUEENSTOWN,QT,CENTRAL REGION,CR,8E9608C7B3B27AD7,2014/12/05,21751.75100000000,32627.89470000000,4666.97006782000,946651.41864499997,
130,6,CLEMENTI CENTRAL,CLSZ06,N,CLEMENTI,CL,WEST REGION,WR,B2C4E087B443854E,2014/12/05,20183.44960000000,32707.53940000000,3630.18922323000,748043.27672800003,"Rosedale, 495 Clementi Road, Singapore 599484; Rosedale, 493 Clementi Road, Singapore 599483; Rosedale, 491 Clementi Road, Singapore 599482; Rosedale, 489 Clementi Road, Singapore 599481; Rosedale, 497 Clementi Road, Singapore 599485; Rosedale, 487 Clementi Road, Singapore 599480; The Children's Aid Society, 503 Clementi Road, Singapore 599488; Rosedale, 499 Clementi Road, Singapore 599486; Rosedale, 485 Clementi Road, Singapore 599479; Rosedale, 483 Clementi Road, Singapore 599478"
131,7,KAMPONG JAVA,KLSZ07,N,KALLANG,KL,CENTRAL REGION,CR,B548D80BC47261CB,2014/12/05,29891.53110000000,32888.52970000000,4344.61217096000,1022292.30058000004,"Parc Centennial, 100 Kampong Java Road, Singapore 228867; 103 Kampong Java Road, Singapore 228869; 102 Kampong Java Road, Singapore 228868; 104 Kampong Java Road, Singapore 228870; 105 Kampong Java Road, Singapore 228871; 106 Kampong Java Road, Singapore 228872; 107 Kampong Java Road, Singapore 228873; 108 Kampong Java Road, Singapore 228874; 109 Kampong Java Road, Singapore 228875; 15A Jalan Aruan, Singapore 229127"
132,3,BOON KENG,KLSZ03,N,KALLANG,KL,CENTRAL REGION,CR,0D1D1759D7BC6D6C,2014/12/05,32338.32120000000,33018.76070000000,2972.11104541000,410994.54470199998,"Boon Keng MRT Station (NE9), 900 Serangoon Road, Singapore 328260; Bus stop at Boon Keng MRT (60121); 22A Boon Keng Road, Singapore 331022; Towner Ville, 101 Towner Road, Singapore 322101; 33 Bendemeer Road, Singapore 330033; 104 Towner Road, Singapore 322104; 24 Bendemeer Road, Singapore 330024; 25 Bendemeer Road, Singapore 330025"
133,8,KALLANG BAHRU,KLSZ08,N,KALLANG,KL,CENTRAL REGION,CR,F605DD67E5154CFB,2014/12/05,31579.28890000000,32929.52760000000,3710.90460199000,839488.97718599997,"Bus stop at Chubb Singapore (60021); Ingram Micro, 205 Kallang Bahru, Singapore 339341; JIT Electronics Building, 1 Kallang Place, Singapore 339211; Chubb Singapore Private Limited, 207 Kallang Bahru, Singapore 339343; Singapore Kitamura Industrial Building, 203 Kallang Bahru, Singapore 339340; Bus stop at Blk 16 (60029); Essilor Building, 215 Kallang Bahru, Singapore 339346"
134,4,ULU PANDAN,BTSZ04,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,FF2AA0D68743AE28,2014/12/05,22210.50930000000,33177.22080000000,6626.66718328000,1228487.73417000007,"Nexus International School, 201 Ulu Pandan Road, Singapore 596468"
135,5,JURONG GATEWAY,JESZ05,N,JURONG EAST,JE,WEST REGION,WR,857DAA77ED3346BF,2014/12/05,17912.97780000000,35033.90610000000,3096.98410990000,554623.67571700003,"J Gateway, 2 Gateway Drive, Singapore 608533; Jurong East Bus Interchage, 155 Jurong Gateway Road, Singapore 608547; J Gateway, 4 Gateway Drive, Singapore 608534; Westgate, 1 Gateway Drive, Singapore 608531; Bus stop at Jurong East MRT (28061)"
136,3,HOLLAND ROAD,BTSZ03,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,12A4B25B07B14D08,2014/12/05,22485.01930000000,34364.28960000000,8185.19732328000,3392897.36359000020,"Chip Bee Gardens, 145 Holland Road, Singapore 278577; Chip Bee Gardens, 143 Holland Road, Singapore 278575; Holland Court, 144 Holland Road, Singapore 278576; Chip Bee Gardens, 147 Holland Road, Singapore 278578; Chip Bee Gardens, 141 Holland Road, Singapore 278574; 1A Belmont Road, Singapore 269853; Chip Bee Gardens, 28 Jalan Merah Saga, Singapore 278107; Chip Bee Gardens, 30 Jalan Merah Saga, Singapore 278108; Chip Bee Gardens, 149 Holland Road, Singapore 278579; Chip Bee Gardens, 26 Jalan Merah Saga, Singapore 278105"
137,3,KAMPONG UBI,GLSZ03,N,GEYLANG,GL,CENTRAL REGION,CR,12CC0A25547E67F9,2014/12/05,35039.54950000000,34647.26330000000,5573.53291765000,1878092.47785999998,"306 Ubi Avenue 1, Singapore 400306; 301 Ubi Avenue 1, Singapore 400301; 305 Ubi Avenue 1, Singapore 400305; 304 Ubi Avenue 1, Singapore 400304"
138,11,SENNETT,TPSZ11,N,TOA PAYOH,TP,CENTRAL REGION,CR,323E7ABC6E27B92B,2014/12/05,32485.48980000000,35050.19650000000,3836.10579302000,867750.43733200000,"107 Sennett Avenue, Singapore 467106; 84 Sennett Avenue, Singapore 467092; 105 Sennett Avenue, Singapore 467104; 82 Sennett Avenue, Singapore 467090; 86 Sennett Avenue, Singapore 467094; 109 Sennett Avenue, Singapore 467108; 88 Sennett Avenue, Singapore 467096; 103 Sennett Avenue, Singapore 467102; 36 Sennett Road, Singapore 466815; 111 Sennett Avenue, Singapore 467110"
139,9,POTONG PASIR,TPSZ09,N,TOA PAYOH,TP,CENTRAL REGION,CR,C54D6A4E4D1A775C,2014/12/05,31596.79900000000,35028.10430000000,3496.88166396000,639143.55935700005,"Bus stop at Potong Pasir MRT (60261); Potong Pasir MRT Station (NE10), 55 Upper Serangoon Road, Singapore 347694; Bus stop at Potong Pasir MRT (60269); Sennett Estate, 39 Pheng Geck Avenue, Singapore 348234; Sennett Estate, 37 Pheng Geck Avenue, Singapore 348232; Sennett Estate, 35 Pheng Geck Avenue, Singapore 348230; Sennett Estate, 33 Pheng Geck Avenue, Singapore 348228; Sennett Estate, 31 Pheng Geck Avenue, Singapore 348226; Sennett Estate, 26 Pheng Geck Avenue, Singapore 348221; 4 Meyappa Chettiar Road, Singapore 358453"
140,3,TUAS NORTH,TSSZ03,N,TUAS,TS,WEST REGION,WR,1CD927A110152200,2014/12/05,7737.03290000000,34331.08510000000,7702.82494807000,3260150.85690000001,
141,6,PEI CHUN,TPSZ06,N,TOA PAYOH,TP,CENTRAL REGION,CR,E896DA37D43AE86B,2014/12/05,30814.32820000000,35440.97030000000,2901.78941605000,411403.93712800002,"Pei Chun Public School, 16 Lorong 7 Toa Payoh, Singapore 319320; Bus stop at Pei Chun Public School (52341); 8A Lorong 7 Toa Payoh, Singapore 319317; Bus stop at United Medicare Centre (52349); HSR Building, 3 Lorong 6 Toa Payoh, Singapore 319378; 17 Lorong 7 Toa Payoh, Singapore 310017"
142,4,BOON TECK,TPSZ04,N,TOA PAYOH,TP,CENTRAL REGION,CR,3FBAA35FE787D703,2014/12/05,30193.13490000000,35272.74740000000,2626.13659251000,418657.35830099997,"10 Boon Teck Road, Singapore 329584; Shaw Corner, 12 Boon Teck Road, Singapore 329586; Fragrance Hotel Classic, 418 Balestier Road, Singapore 329808; Giffard Mansion, 424 Balestier Road, Singapore 329810; 412 Balestier Road, Singapore 329805; Thong Teck Sian Tong Lian Sin Sia Temple, 1A Boon Teck Road, Singapore 329578; 414 Balestier Road, Singapore 329806; 1A Jalan Kemaman, Singapore 329317; 411 Balestier Road, Singapore 329930; 403 Balestier Road, Singapore 329804"
143,6,KIAN TECK,JWSZ06,N,JURONG WEST,JW,WEST REGION,WR,9B1413350A34D0D4,2014/12/05,12929.74510000000,34857.75320000000,8830.55525832000,2098176.49641000014,"28 Kian Teck Drive, Singapore 628845; 11 Kian Teck Drive, Singapore 628828; 9 Kian Teck Avenue, Singapore 628898; 26 Kian Teck Drive, Singapore 628843; 9 Kian Teck Drive, Singapore 628826; 7 Kian Teck Avenue, Singapore 628897; 24 Kian Teck Drive, Singapore 628841; 13 Kian Teck Avenue, Singapore 628900; 26 Kian Teck Road, Singapore 628776; 22 Kian Teck Drive, Singapore 628839"
144,7,SAFTI,JWSZ07,N,JURONG WEST,JW,WEST REGION,WR,A5DB0CB48852975E,2014/12/05,11290.26740000000,35199.67040000000,5137.71777156000,1524551.33501000004,
145,8,WOODLEIGH,TPSZ08,N,TOA PAYOH,TP,CENTRAL REGION,CR,FA35D874BD766895,2014/12/05,31670.47850000000,35799.90190000000,3778.89057411000,813382.98136900004,"Woodleigh MRT Station (NE11), 400 Upper Serangoon Road, Singapore 347695; 309 Upper Serangoon Road, Singapore 347693"
146,4,TAMAN JURONG,JWSZ04,N,JURONG WEST,JW,WEST REGION,WR,832B7D27EAD276CE,2014/12/05,15522.03620000000,35189.13950000000,6583.69409641000,1484296.47313999990,"184 Yung Sheng Road, Singapore 610184; 183A Corporation Drive, Singapore 611183; 183 Yung Sheng Road, Singapore 610183; 182A Yung Sheng Road, Singapore 611182; 184A Corporation Drive, Singapore 611184; 182 Yung Sheng Road, Singapore 610182; 181 Yung Sheng Road, Singapore 610181; 64 Yung Kuang Road, Singapore 610064; Corporation Tiara, 175C Yung Kuang Road, Singapore 613175; Corporation Tiara, 175 Yung Kuang Road, Singapore 610175"
147,4,LAKESIDE,JESZ04,N,JURONG EAST,JE,WEST REGION,WR,3BBFD45071B70ECF,2014/12/05,16697.01180000000,35114.90620000000,8828.63382968000,3108023.27377999993,"Lakeside MRT Station (EW26), 201 Boon Lay Way, Singapore 649845; Bus stop at Lakeside MRT (28091); 517B Jurong West Street 52, Singapore 642517; 517C Jurong West Street 52, Singapore 643517"
148,1,TOA PAYOH WEST,TPSZ01,N,TOA PAYOH,TP,CENTRAL REGION,CR,F09D85529E92E6F5,2014/12/05,28943.19230000000,35787.34780000000,4516.83996636000,1037281.09446000005,"5 Toa Payoh West, Singapore 318877"
149,1,KAKI BUKIT,BDSZ01,N,BEDOK,BD,EAST REGION,ER,0E5F89C6D8042867,2014/12/05,36485.39510000000,35307.04080000000,8153.88813505000,2820171.67855999991,"9 Kaki Bukit Crescent, Singapore 416240; 11 Kaki Bukit Crescent, Singapore 416241; 7 Kaki Bukit Crescent, Singapore 416239; Techlink, 31 Kaki Bukit Road 3, Singapore 417818; 5 Kaki Bukit Crescent, Singapore 416238; Kaki Bukit Techpark I, 12 Kaki Bukit Crescent, Singapore 416243; Kaki Bukit Techpark I, 14 Kaki Bukit Crescent, Singapore 416245; 3 Kaki Bukit Crescent, Singapore 416237; Kaki Bukit Techpark I, 16 Kaki Bukit Crescent, Singapore 416247; Kaki Bukit Techpark I, 15 Kaki Bukit Crescent, Singapore 416246"
150,2,YUHUA EAST,JESZ02,N,JURONG EAST,JE,WEST REGION,WR,703D4A0324A15A14,2014/12/05,17485.17540000000,35841.78000000000,4018.42101743000,924762.47740500001,"Yuhua Community Club (CC), 90 Boon Lay Way, Singapore 609958; Jurong East Neighbourhood Police Centre (NPC), 92 Boon Lay Way, Singapore 609962; Bus stop at Blk 112 (28081); Bus stop before Yuhua Community Center (28089); 216 Jurong East Street 21, Singapore 600216; 219A Jurong East Street 21, Singapore 601219; 110 Jurong East Street 13, Singapore 600110; 218 Jurong East Street 21, Singapore 600218; 221A Jurong East Street 21, Singapore 601221"
151,9,BUKIT BATOK SOUTH,BKSZ09,N,BUKIT BATOK,BK,WEST REGION,WR,D5DC9A5BC8BC1AC1,2014/12/05,19631.87300000000,35910.96350000000,6998.80592435000,1806553.07642999990,"Hillington Green, 51 Hillview Avenue, Singapore 669565; Chantilly Rise, 80 Hillview Avenue, Singapore 669579; Hillview Green, 73 Hume Avenue, Singapore 598747; Bus stop at Hillbrooks (43251); Hillington Green, 53 Hillview Avenue, Singapore 669566; Hillview Green, 71 Hume Avenue, Singapore 598746; Chantilly Rise, 82 Hillview Avenue, Singapore 669581; 3 Elizabeth Drive, Singapore 669744; Hillbrooks, 88 Hillview Avenue, Singapore 669590; Hillview Green, 61 Hume Avenue, Singapore 598741"
152,9,JURONG WEST CENTRAL,JWSZ09,N,JURONG WEST,JW,WEST REGION,WR,1D90F8ED7A36C82C,2014/12/05,13396.62610000000,35811.72610000000,4649.79715009000,1404536.64286000002,"The Centris, 69 Jurong West Central 3, Singapore 648334; The Centris, 71 Jurong West Central 3, Singapore 648335; Boon Lay Bus Interchange, 61 Jurong West Central 3, Singapore 648330; The Centris, 67 Jurong West Central 3, Singapore 648333; The Centris, 73 Jurong West Central 3, Singapore 648336; The Centris, 81 Jurong West Central 3, Singapore 648340; The Centris, 83 Jurong West Central 3, Singapore 648341; Boon Lay MRT Station (EW27), 301 Boon Lay Way, Singapore 649846; The Centris, 65 Jurong West Central 3, Singapore 648332; The Centris, 79 Jurong West Central 3, Singapore 648339"
153,2,BEDOK RESERVOIR,BDSZ02,N,BEDOK,BD,EAST REGION,ER,F3CEF1310CE15C52,2014/12/05,38351.11660000000,35800.60760000000,6899.52590019000,2379331.52887000004,
154,1,TOH TUCK,CLSZ01,N,CLEMENTI,CL,WEST REGION,WR,0E1BA5E467E89BE8,2014/12/05,19433.12040000000,34884.24810000000,6119.88349736000,2077796.54658999993,"2 Toh Tuck Link, Singapore 596225; Markono Logistics Building, 4 Toh Tuck Link, Singapore 596226"
155,5,MOUNT PLEASANT,NVSZ05,N,NOVENA,NV,CENTRAL REGION,CR,F910FC998DE2CB15,2014/12/05,27515.31250000000,35112.61830000000,7234.11074506000,3142950.10821000021,"157 Mount Pleasant Road, Singapore 298345; 158 Mount Pleasant Road, Singapore 298349; 156 Mount Pleasant Road, Singapore 298344; 490 Jalan Mashhor, Singapore 299176; 159 Mount Pleasant Road, Singapore 298350"
156,5,HILLCREST,BTSZ05,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,1DC35394CBDDDADD,2014/12/05,25207.84260000000,35039.29420000000,7428.70026068000,2636483.25871000020,"Hillcrest Park, 88 Hillcrest Road, Singapore 288963; Hillcrest Park, 81 Hillcrest Road, Singapore 288956; Hillcrest Park, 79 Hillcrest Road, Singapore 288954; Hillcrest Park, 86 Hillcrest Road, Singapore 288961; Hillcrest Park, 83 Hillcrest Road, Singapore 288958; Hillcrest Park, 2 Greendale Avenue, Singapore 289497; Hillcrest Park, 77 Hillcrest Road, Singapore 288951; Hillcrest Park, 4 Greendale Avenue, Singapore 289500; Hillcrest Park, 1 Greenmead Avenue, Singapore 289394; 170 Watten Estate Road, Singapore 287615"
157,12,JOO SENG,TPSZ12,N,TOA PAYOH,TP,CENTRAL REGION,CR,33EC42B8FE3B21D0,2014/12/05,33454.06900000000,35419.72760000000,4254.53133336000,1057165.24420000007,"Gold Pine Industrial Building, 126 Joo Seng Road, Singapore 368355; 17 Joo Seng Road, Singapore 360017; Joo Seng Warehouse, 1 Upper Aljunied Link, Singapore 367901; 18 Joo Seng Road, Singapore 360018; 171 Kampong Ampat, Singapore 368330"
158,5,CHIN BEE,JWSZ05,N,JURONG WEST,JW,WEST REGION,WR,E40040F5493ECE07,2014/12/05,14631.80590000000,35240.97030000000,4899.03395740000,1287949.82452000002,"9 Chin Bee Drive, Singapore 619860; Owl International, 37 Chin Bee Crescent, Singapore 619903; 16 Chin Bee Drive, Singapore 619864; 12 Chin Bee Drive, Singapore 619868; 10 Chin Bee Drive, Singapore 619861; 12 Chin Bee Crescent, Singapore 619896; 35 Chin Bee Crescent, Singapore 619902; 7A Chin Bee Drive, Singapore 619858"
159,5,LORONG 8 TOA PAYOH,TPSZ05,N,TOA PAYOH,TP,CENTRAL REGION,CR,4A20B4AB7C41B9D6,2014/12/05,30646.84290000000,35893.11260000000,3271.27119241000,439646.76155800000,"226 Lorong 8 Toa Payoh, Singapore 310226; 227 Lorong 8 Toa Payoh, Singapore 310227; Bus stop at Blk 227 (52389); 235 Lorong 8 Toa Payoh, Singapore 310235; 227A Lorong 8 Toa Payoh, Singapore 311227; Bus stop at First Toa Payoh Primary School (52371); 9 Lorong 8 Toa Payoh, Singapore 319253"
160,3,TOH GUAN,JESZ03,N,JURONG EAST,JE,WEST REGION,WR,013B509B8EDF15BE,2014/12/05,18294.17740000000,35518.17000000000,4462.31441206000,746882.30231800000,"285E Toh Guan Road, Singapore 605285; 285C Toh Guan Road, Singapore 603285"
161,3,BRADDELL,TPSZ03,N,TOA PAYOH,TP,CENTRAL REGION,CR,849909336BD70CC9,2014/12/05,29811.60060000000,35855.51000000000,3513.75693546000,446241.79187500000,"Central Singapore Joint Social Service Centre, 381 Lorong 1 Toa Payoh, Singapore 319758; 117 Lorong 1 Toa Payoh, Singapore 310117; Bus stop at Blk 111 (52161); 118A Lorong 1 Toa Payoh, Singapore 311118; 118 Lorong 1 Toa Payoh, Singapore 310118; Bus stop at Blk 117 (52169); 120A Lorong 2 Toa Payoh, Singapore 311120; 115 Lorong 1 Toa Payoh, Singapore 310115; 114 Lorong 1 Toa Payoh, Singapore 310114"
162,10,BIDADARI,TPSZ10,N,TOA PAYOH,TP,CENTRAL REGION,CR,B522727043B8AF0C,2014/12/05,32632.53940000000,35918.01500000000,3323.74283763000,572502.13977999997,"520 Upper Serangoon Road, Singapore 534537; 522 Upper Serangoon Road, Singapore 534538; 528 Upper Serangoon Road, Singapore 534543; Sunshine Lodge, 510 Upper Serangoon Road, Singapore 534530; 532 Upper Serangoon Road, Singapore 534547; 534 Upper Serangoon Road, Singapore 534549; Bartley Rise Estate, 53 Eden Grove, Singapore 539094; Bartley Rise Estate, 55 Eden Grove, Singapore 539095; Bartley Rise Estate, 57 Eden Grove, Singapore 539096; Bartley Rise Estate, 51 Eden Grove, Singapore 539093"
163,4,ALJUNIED,GLSZ04,N,GEYLANG,GL,CENTRAL REGION,CR,83AFAB768B6B2B66,2014/12/05,33592.57590000000,32970.83010000000,7100.69907893000,2959367.62527999980,"Aljunied MRT Station (EW9), 81 Lorong 25 Geylang, Singapore 388310; 88 Lorong 25A Geylang, Singapore 388264; 86 Lorong 25A Geylang, Singapore 388263; 90 Lorong 25A Geylang, Singapore 388265; 84 Lorong 25A Geylang, Singapore 388262; 82 Lorong 25A Geylang, Singapore 388261; 80 Lorong 25A Geylang, Singapore 388260; 78 Lorong 25A Geylang, Singapore 388259; 76 Lorong 25A Geylang, Singapore 388258; 74 Lorong 25A Geylang, Singapore 388257"
164,4,TYERSALL,TNSZ04,N,TANGLIN,TN,CENTRAL REGION,CR,DAC6AB8C67377C3B,2014/12/05,25732.65360000000,32985.84940000000,6430.98614739000,2158289.71574999997,
165,2,MOULMEIN,NVSZ02,N,NOVENA,NV,CENTRAL REGION,CR,50F53AE70EC1A4A3,2014/12/05,29057.44150000000,33323.92210000000,5388.74193777000,1347456.01144000003,"Sri Sathya Sai Society, 133 Moulmein Road, Singapore 308083; 137 Moulmein Road, Singapore 308085; 135 Moulmein Road, Singapore 308084; Church Of Christ (Moulmein), 131 Moulmein Road, Singapore 308082; 141 Moulmein Road, Singapore 308086; Kuang Chee Tng Buddhist Association, 125 Moulmein Road, Singapore 308081; Leong Hwa Monastery, 67 Shrewsbury Road, Singapore 307834; 143 Moulmein Road, Singapore 308088; Bus stop opposite Tan Tock Seng Hospital (50129); 145 Moulmein Road, Singapore 308106"
166,2,LIU FANG,BLSZ02,N,BOON LAY,BL,WEST REGION,WR,E793F02FC4904B9B,2014/12/05,14079.10040000000,33391.56230000000,7135.44250052000,2338909.48884999985,Bus stop before Tanjong Kling Road (22049); Bus stop after Tanjong Kling Road (22041)
