"Project Name","Address","No. of Units","Area (sqm)","Type of Area","Transacted Price ($)","Unit Price ($ psm)","Unit Price ($ psf)","Contract Date","Property Type","Tenure","Completion Date","Type of Sale","Purchaser Address Indicator","Postal District","Postal Sector","Postal Code","Planning Region","Planning Area","Postal Code","latitude","longitude"
"1 CANBERRA","3 Canberra Drive  #02-06 ","1","97","Strata","754912","7783","723","2013-08-13","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768102","North Region","Yishun","768102","1.43760510340114","103.830075417872"
"1 CANBERRA","11 Canberra Drive  #07-23 ","1","98","Strata","765300","7809","725","2013-08-13","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768071","North Region","Yishun","768071","1.43722031279163","103.828938582947"
"1 CANBERRA","1 Canberra Drive  #10-03 ","1","88","Strata","693888","7885","733","2013-10-10","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","Private","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
"1 CANBERRA","3 Canberra Drive  #12-08 ","1","88","Strata","709700","8065","749","2013-10-21","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768102","North Region","Yishun","768102","1.43760510340114","103.830075417872"
"1 CANBERRA","5 Canberra Drive  #02-11 ","1","99","Strata","731812","7392","687","2013-08-13","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768103","North Region","Yishun","768103","1.43751100669455","103.829826850122"
"1 CANBERRA","23 Canberra Drive  #09-46 ","1","89","Strata","711512","7995","743","2013-08-20","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768077","North Region","Yishun","768077","1.43847229844254","103.829893423878"
"1 CANBERRA","23 Canberra Drive  #02-45 ","1","89","Strata","692200","7778","723","2013-10-16","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768077","North Region","Yishun","768077","1.43847229844254","103.829893423878"
"1 CANBERRA","7 Canberra Drive  #02-14 ","1","97","Strata","805000","8299","771","2013-08-12","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768069","North Region","Yishun","768069","1.43742444610052","103.829624873694"
"1 CANBERRA","21 Canberra Drive  #03-42 ","1","88","Strata","708200","8048","748","2013-10-28","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768076","North Region","Yishun","768076","1.43866585646089","103.829737218736"
"1 CANBERRA","23 Canberra Drive  #05-46 ","1","89","Strata","698000","7843","729","2013-08-12","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768077","North Region","Yishun","768077","1.43847229844254","103.829893423878"
"1 CANBERRA","23 Canberra Drive  #13-46 ","1","218","Strata","1464200","6717","624","2013-10-23","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768077","North Region","Yishun","768077","1.43847229844254","103.829893423878"
"1 CANBERRA","25 Canberra Drive  #02-49 ","1","98","Strata","740400","7555","702","2013-10-14","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768078","North Region","Yishun","768078","1.43824107091949","103.830028911906"
"1 CANBERRA","25 Canberra Drive  #09-50 ","1","88","Strata","727100","8263","768","2013-08-26","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768078","North Region","Yishun","768078","1.43824107091949","103.830028911906"
"1 CANBERRA","7 Canberra Drive  #13-15 ","1","209","Strata","1333400","6380","593","2013-09-03","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768069","North Region","Yishun","768069","1.43742444610052","103.829624873694"
"1 CANBERRA","1 Canberra Drive  #11-04 ","1","88","Strata","719200","8173","759","2013-10-04","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
