postcode,subzone,district
169638,209.0,03
169659,209.0,03
169813,206.0,03
169878,206.0,03
169905,210.0,03
180001,4301.0,07
180002,4301.0,07
180008,4301.0,07
180009,4301.0,07
180010,4301.0,07
180232,4301.0,07
180233,4301.0,07
180262,4301.0,07
180263,4301.0,07
180264,4301.0,07
180271,4301.0,07
181003,4301.0,07
181004,4301.0,07
181269,5110.0,07
182269,5110.0,07
183269,5110.0,07
189350,4301.0,07
190001,609.0,07
190002,609.0,07
190003,609.0,07
190004,609.0,07
190005,609.0,07
190006,609.0,07
190007,609.0,07
190008,609.0,07
190009,609.0,07
190010,609.0,07
190012,609.0,07
190015,609.0,07
190017,609.0,07
190018,609.0,07
190019,609.0,07
190461,609.0,07
190462,609.0,07
190463,609.0,07
190466,609.0,07
190467,609.0,07
190468,609.0,07
199599,609.0,07
200001,606.0,08
200002,606.0,08
200008,606.0,08
200025,606.0,08
200026,606.0,08
200027,606.0,08
200028,606.0,08
200029,606.0,08
200030,606.0,08
200632,5102.0,08
200633,5102.0,08
200634,5102.0,08
200635,5102.0,08
200636,5102.0,08
200637,5102.0,08
200639,5102.0,08
200640,5102.0,08
200641,5102.0,08
200642,5102.0,08
200801,606.0,08
200802,606.0,08
200804,606.0,08
200805,606.0,08
200806,606.0,08
200807,606.0,08
200811,606.0,08
200813,606.0,08
200815,606.0,08
200816,606.0,08
201007,606.0,08
207224,606.0,08
207226,606.0,08
207227,606.0,08
207229,606.0,08
207557,606.0,08
207853,606.0,08
207855,606.0,08
207876,606.0,08
207877,606.0,08
208108,606.0,08
208745,606.0,08
208747,606.0,08
208749,606.0,08
210009,607.0,08
210010,607.0,08
210011,607.0,08
210012,607.0,08
210013,607.0,08
210015,607.0,08
210037,607.0,08
210038,607.0,08
210039,607.0,08
210040,607.0,08
210041,607.0,08
210042,607.0,08
210043,607.0,08
210044,607.0,08
210046,607.0,08
210047,607.0,08
210048,607.0,08
210049,607.0,08
210050,607.0,08
210051,607.0,08
210052,607.0,08
210053,607.0,08
210054,607.0,08
210661,5101.0,08
210662,5101.0,08
210663,5101.0,08
210664,5101.0,08
210668,5101.0,08
210681,5101.0,08
210682,5101.0,08
210683,5101.0,08
210684,5101.0,08
210685,5101.0,08
211048,607.0,08
211671,5101.0,08
211672,5101.0,08
212671,5101.0,08
212672,5101.0,08
217820,607.0,08
218356,607.0,08
218375,607.0,08
